"source_desc","crops","location","year","total","irrigated"
"SURVEY","WHEAT, WINTER","06ag80",2005,12500,NA
"SURVEY","BARLEY","16",2005,6e+05,425000
"SURVEY","BARLEY","16001",2005,1800,NA
"SURVEY","BARLEY","16005",2005,5600,3500
"SURVEY","BARLEY","16007",2005,4400,3400
"SURVEY","BARLEY","16009",2005,2400,NA
"SURVEY","BARLEY","16011",2005,24300,23600
"SURVEY","BARLEY","16013",2005,12000,11000
"SURVEY","BARLEY","16019",2005,69000,61900
"SURVEY","BARLEY","16021",2005,2500,NA
"SURVEY","BARLEY","16023",2005,10600,10600
"SURVEY","BARLEY","16025",2005,14100,2100
"SURVEY","BARLEY","16027",2005,2400,2400
"SURVEY","BARLEY","16029",2005,57800,16800
"SURVEY","BARLEY","16031",2005,31200,29200
"SURVEY","BARLEY","16033",2005,3300,NA
"SURVEY","BARLEY","16035",2005,1800,NA
"SURVEY","BARLEY","16037",2005,1300,1300
"SURVEY","BARLEY","16039",2005,500,NA
"SURVEY","BARLEY","16041",2005,4600,3800
"SURVEY","BARLEY","16043",2005,56500,31800
"SURVEY","BARLEY","16045",2005,1100,NA
"SURVEY","BARLEY","16047",2005,2100,2100
"SURVEY","BARLEY","16049",2005,9600,NA
"SURVEY","BARLEY","16051",2005,56700,NA
"SURVEY","BARLEY","16053",2005,17200,16600
"SURVEY","BARLEY","16055",2005,1000,500
"SURVEY","BARLEY","16057",2005,9700,NA
"SURVEY","BARLEY","16059",2005,800,800
"SURVEY","BARLEY","16061",2005,13800,NA
"SURVEY","BARLEY","16063",2005,2500,NA
"SURVEY","BARLEY","16065",2005,43700,35200
"SURVEY","BARLEY","16067",2005,45700,NA
"SURVEY","BARLEY","16069",2005,13200,NA
"SURVEY","BARLEY","16071",2005,3500,1700
"SURVEY","BARLEY","16073",2005,1700,1700
"SURVEY","BARLEY","16075",2005,600,600
"SURVEY","BARLEY","16077",2005,6400,NA
"SURVEY","BARLEY","16081",2005,40500,25600
"SURVEY","BARLEY","16083",2005,21200,20500
"SURVEY","BARLEY","16087",2005,2700,1100
"SURVEY","BARLEY","16ag10",2005,54000,500
"SURVEY","BARLEY","16ag70",2005,11000,9000
"SURVEY","BARLEY","16ag80",2005,146000,129500
"SURVEY","BARLEY","16ag90",2005,389000,286000
"SURVEY","BEANS, DRY EDIBLE","16",2005,98000,67700
"SURVEY","BEANS, DRY EDIBLE","16001",2005,700,700
"SURVEY","BEANS, DRY EDIBLE","16027",2005,8900,8900
"SURVEY","BEANS, DRY EDIBLE","16031",2005,7200,7200
"SURVEY","BEANS, DRY EDIBLE","16035",2005,700,NA
"SURVEY","BEANS, DRY EDIBLE","16039",2005,1200,1200
"SURVEY","BEANS, DRY EDIBLE","16047",2005,1400,1400
"SURVEY","BEANS, DRY EDIBLE","16053",2005,10800,10800
"SURVEY","BEANS, DRY EDIBLE","16057",2005,10200,NA
"SURVEY","BEANS, DRY EDIBLE","16061",2005,2000,NA
"SURVEY","BEANS, DRY EDIBLE","16067",2005,4400,4400
"SURVEY","BEANS, DRY EDIBLE","16069",2005,17300,NA
"SURVEY","BEANS, DRY EDIBLE","16073",2005,3300,3300
"SURVEY","BEANS, DRY EDIBLE","16075",2005,1800,1800
"SURVEY","BEANS, DRY EDIBLE","16083",2005,25800,25800
"SURVEY","BEANS, DRY EDIBLE","16087",2005,1100,1100
"SURVEY","BEANS, DRY EDIBLE","16ag10",2005,30300,NA
"SURVEY","BEANS, DRY EDIBLE","16ag70",2005,17200,17200
"SURVEY","BEANS, DRY EDIBLE","16ag80",2005,50000,50000
"SURVEY","BEANS, DRY EDIBLE","16ag90",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, BLACK","16",2005,2400,NA
